  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
 50610, 4.490930E-05, 4.931136E-04, 2.511811E-01, 1.090565E+01, 3.596928E+02
 50620, 4.522884E-05, 4.923678E-04, 2.512539E-01, 1.090648E+01, 3.597478E+02
 50630, 4.461367E-05, 4.913717E-04, 2.513083E-01, 1.090639E+01, 3.597978E+02
 50640, 4.316258E-05, 4.904720E-04, 2.513269E-01, 1.090586E+01, 3.598263E+02
 50650, 4.126431E-05, 4.900523E-04, 2.513253E-01, 1.090553E+01, 3.598464E+02
 50660, 3.843476E-05, 4.899144E-04, 2.513154E-01, 1.090613E+01, 3.598724E+02
 50670, 3.406595E-05, 4.904127E-04, 2.513219E-01, 1.090901E+01, 3.599394E+02
 50680, 3.173131E-05, 4.901876E-04, 2.514221E-01, 1.091119E+01, 3.600348E+02
 50690, 3.206270E-05, 4.890364E-04, 2.514627E-01, 1.091090E+01, 3.600860E+02
 50700, 3.247603E-05, 4.881434E-04, 2.514870E-01, 1.091035E+01, 3.601329E+02
 50710, 3.259403E-05, 4.876743E-04, 2.514933E-01, 1.091033E+01, 3.601751E+02
 50720, 3.257021E-05, 4.885702E-04, 2.514865E-01, 1.091301E+01, 3.601938E+02
 50730, 3.361540E-05, 4.896667E-04, 2.515948E-01, 1.091728E+01, 3.602570E+02
 50740, 3.506633E-05, 4.901039E-04, 2.517187E-01, 1.092109E+01, 3.603991E+02
 50750, 3.651895E-05, 4.907579E-04, 2.518792E-01, 1.092513E+01, 3.605691E+02
 50760, 3.750070E-05, 4.912079E-04, 2.520495E-01, 1.092856E+01, 3.607749E+02
 50770, 3.824586E-05, 4.905538E-04, 2.521854E-01, 1.093027E+01, 3.609361E+02
 50780, 3.934860E-05, 4.904508E-04, 2.522869E-01, 1.093128E+01, 3.610197E+02
 50790, 3.102366E-05, 4.924351E-04, 2.525824E-01, 1.093623E+01, 3.612580E+02
 50800, 2.046654E-05, 4.944213E-04, 2.529816E-01, 1.094261E+01, 3.615812E+02
 50810, 1.862537E-05, 4.934619E-04, 2.531419E-01, 1.094432E+01, 3.617666E+02
 50820, 3.086023E-05, 4.898386E-04, 2.528954E-01, 1.093903E+01, 3.616678E+02
 50830, 4.043749E-05, 4.901799E-04, 2.527421E-01, 1.093631E+01, 3.616611E+02
 50840, 3.680283E-05, 4.893732E-04, 2.526013E-01, 1.093462E+01, 3.616446E+02
 50850, 4.138745E-05, 4.888643E-04, 2.523856E-01, 1.093039E+01, 3.614080E+02
 50860, 3.709733E-05, 4.887589E-04, 2.522348E-01, 1.092825E+01, 3.612444E+02
 50870, 3.341670E-05, 4.883845E-04, 2.522582E-01, 1.092841E+01, 3.612756E+02
 50880, 3.145031E-05, 4.877465E-04, 2.523203E-01, 1.092898E+01, 3.613750E+02
 50890, 2.989854E-05, 4.869249E-04, 2.523655E-01, 1.092935E+01, 3.614868E+02
 50900, 2.819499E-05, 4.860457E-04, 2.523960E-01, 1.092958E+01, 3.616043E+02
 50910, 2.600715E-05, 4.854240E-04, 2.524289E-01, 1.093009E+01, 3.617487E+02
 50920, 2.306652E-05, 4.851294E-04, 2.524864E-01, 1.093148E+01, 3.619772E+02
 50930, 1.915360E-05, 4.851916E-04, 2.526122E-01, 1.093471E+01, 3.623912E+02
 50940, 1.449818E-05, 4.858343E-04, 2.528831E-01, 1.094138E+01, 3.632083E+02
 50950, 1.129571E-05, 4.866706E-04, 2.531753E-01, 1.094944E+01, 3.642801E+02
 50960, 1.218001E-05, 4.864648E-04, 2.530930E-01, 1.094964E+01, 3.643498E+02
 50970, 1.718178E-05, 4.862971E-04, 2.527536E-01, 1.094512E+01, 3.635346E+02
 50980, 2.346522E-05, 4.866174E-04, 2.525546E-01, 1.094313E+01, 3.628846E+02
 50990, 2.831363E-05, 4.871519E-04, 2.524792E-01, 1.094307E+01, 3.625015E+02
 51000, 3.202503E-05, 4.879534E-04, 2.524820E-01, 1.094433E+01, 3.622584E+02
 51010, 3.492176E-05, 4.898984E-04, 2.525799E-01, 1.094708E+01, 3.621221E+02
 51020, 2.799964E-05, 4.925727E-04, 2.526159E-01, 1.095108E+01, 3.621235E+02
 51030, 3.561239E-05, 4.869936E-04, 2.525794E-01, 1.094930E+01, 3.619316E+02
 51040, 3.894922E-05, 4.861641E-04, 2.524138E-01, 1.094620E+01, 3.617518E+02
 51050, 4.060062E-05, 4.860129E-04, 2.522698E-01, 1.094481E+01, 3.615747E+02
 51060, 4.312956E-05, 4.859527E-04, 2.521858E-01, 1.094475E+01, 3.614108E+02
 51070, 4.507991E-05, 4.850240E-04, 2.521165E-01, 1.094512E+01, 3.612867E+02
 51080, 4.654625E-05, 4.842146E-04, 2.520619E-01, 1.094555E+01, 3.611935E+02
